Season,Episode,Game,Question,First Panelist Chosen,First Panelist Answer,Second Panelist Chosen,Second Panelist Answer,Third Panelist Chosen,Third Panelist Answer,Contestant,Contestant Answer,$100 Answer,$250 Answer,$500 Answer,Contestant Earnings
73,1,1,blank bridge,Michael Landon,golden gate,Richard Dawson,london,Anita Gillette,george washington,Stanley Viltz,golden gate,brooklyn,golden gate,london,250
73,2,2,odd blank,Jo Ann Pflug,couple,Anita Gillette,ball,Vicki Lawrence,or even,Stanley Viltz,ball,fellow,ball,couple,250
73,2,3,water blank,Jo Ann Pflug,fall,Richard Dawson,bed,Anita Gillette,gate,Stanley Viltz,bed,falls,bed,gate,250
73,3,4,watch your blank,Michael Landon,step,Anita Gillette,weight,Jo Ann Pflug,wallet,Stanley Viltz,step,language,weight,step,500
73,3,5,blank belly,Jo Ann Pflug,jelly,Michael Landon,yellow,Jack Klugman,fat,Stanley Viltz,yellow,pot,beer,jelly,0
73,4,6,prince blank,Jo Ann Pflug,philip,Richard Dawson,charming,Anita Gillette,charles,Gary Walls,charming,albert,valiant,charming,500
73,4,7,chicken blank,Jack Klugman,livers,Vicki Lawrence,soup,Richard Dawson,little,Gary Walls,delight,delight,,,100
73,5,8,william blank,Jack Klugman,tell,Michael Landon,shakespeare,Jo Ann Pflug,windom,Gary Walls,tell,holden,shakespeare,tell,500
73,6,9,home blank,Michael Learned,sweet home,Della Reese,cooking,Richard Dawson,maker,Gary Walls,sweet home,on the range,run,sweet home,500
73,6,10,pop blank,Arlene Francis,corn,Bob Barker,bottle,Richard Thomas,goes the weasel,Gary Walls,corn,sicle,goes the weasel,corn,500
73,7,11,blue blank,Bob Barker,heaven,Michael Learned,berry pie,Richard Thomas,moon,Mary Vanderdusen,moon,chip,moon,sky,250
73,7,12,blank lips,Richard Dawson,hot,Arlene Francis,puckered,Richard Thomas,red,Gita Satyendra,hot,sweet,red,hot,500
73,8,13,fat blank,Della Reese,daddy,Michael Learned,cat,Richard Thomas,so,Gita Satyendra,so,man,albert,cat,0
73,9,14,easter blank,Bob Barker,egg,Michael Learned,bonnet,Richard Thomas,bunny,Helene Harrington,bunny,parade,sunday,bunny,500
73,9,15,count blank,Della Reese,basie,Richard Dawson,dracula,Arlene Francis,me out,Helene Harrington,basie,your blessings,dracula,down,0
73,10,16,blank brothers,Bob Barker,marx,Richard Thomas,joyce,Michael Learned,big,Sylvia Martin,marx,smith,marx,smothers,250
73,10,17,grand blank,Bob Barker,father,Richard Thomas,slam,Della Reese,canyon,Beverly Ballard,canyon,prize,slam,canyon,500
73,11,18,blank day,Charles Nelson Reilly,doris,Betty White,have a nice,Bert Convy,rainy,Dinah Hewlett,birth,birth,happy,doris,100
73,12,19,upper blank,Brett Somers,berth,Charles Nelson Reilly,teeth,Jaye P. Morgan,class,Roger Kissell,class,plate,berth,lip,0
73,13,20,mickey blank,Jaye P. Morgan,mouse,Charles Nelson Reilly,finn,Brett Somers,spillane,Fern Zaylen,mouse,mantle,rooney,mouse,500
73,13,21,mark blank,Brett Somers,twain,Richard Dawson,spitz,Betty White,goodson,Michelle Baylen,twain,anthony,twain,spitz,250
73,14,22,that old blank,Charles Nelson Reilly,gang of mine,Bert Convy,black magic,Betty White,feeling,Cheryl Christianson,black magic,man,feeling,black magic,500
73,15,23,bare blank,Betty White,feet,Brett Somers,back,Charles Nelson Reilly,chest,Jeff Nichols,feet,bottom,back,foot,500
73,15,24,captain blank,Charles Nelson Reilly,midnight,Brett Somers,bligh,Bert Convy,marvel,Jeff Nichols,bligh,hook,kidd,kangaroo,0
73,16,25,blank guard,Jo Ann Pflug,life,Jack Carter,safe,Richard Dawson,right,Jeff Nichols,life,national,life,right,250
73,17,26,monkey blank,Jo Ann Pflug,business,Barbara Stuart,wrench,Dick Gautier,shines,Jeff Nichols,shines,wrench,"see, monkey do",business,0
73,17,27,seven blank,Jo Ann Pflug,eleven,Richard Dawson,up,Jack Carter,dwarves,Jeff Nichols,up,seas,eleven,up,500
73,18,28,blank powder,Jo Ann Pflug,gun,Richard Dawson,face,Dick Gautier,tooth,Jeff Nichols,gun,talcum,face,gun,500
73,19,29,tooth blank,Jo Ann Pflug,paste,Shelley Winters,ache,Jack Carter,less,Jeff Nichols,paste,brush,paste,ache,250
73,19,30,blank sticks,Jo Ann Pflug,pick up,Richard Dawson,drum,Dick Gautier,match,Helen Molnar,chop,match,pick up,chop,500
73,20,31,blank laugh,Dick Gautier,belly,Jack Carter,funny,Richard Dawson,last,Helen Molnar,last,belly,last,horse,250
73,21,32,blank foot,Mary Ann Mobley,hot,Richard Dawson,athlete's,Kay Ballard,rabbit's,Helen Molnar,bare,hot,athlete's,bare,500
73,22,33,catch a blank,Charles Nelson Reilly,falling star,Richard Dawson,cold,Mary Ann Mobley,ball,Helen Molnar,thief,cold,ball,thief,500
73,22,34,chopped blank,Bert Convy,liver,Richard Dawson,ice,Kay Ballard,steak,Bill Lolly,liver,onions,meat,liver,500
73,23,35,lazy blank,Bert Convy,river,Loretta Swit,susan,Kay Ballard,bones,Bill Lolly,susan,susan,bones,days,100
73,24,36,blank street,Bert Convy,42nd,Mary Ann Mobley,back,Richard Dawson,della,Bill Lolly,sesame,one way,main,sesame,500
73,24,37,joe blank,Bert Convy,namath,Richard Dawson,lewis,Kay Ballard,dimaggio,Bill Lolly,lewis,palooka,namath,blow,0
73,25,38,top blank,Bert Convy,less,Mary Ann Mobley,notch,Richard Dawson,of the morning,Bill Lolly,notch,heavy,banana,hat,0
73,25,39,rock blank,Bert Convy,hudson,Charles Nelson Reilly,mountain,Kay Ballard,and roll,Chris Jones,and roll,hudson,group,and roll,500
73,26,40,dumb blank,Betty White,bell,Morey Amsterdam,bunny,Carolyn Jones,dumb,Sue Yannick,bell,blonde,bunny,bell,500
73,27,41,sneak blank,Betty White,thief,Bert Convy,preview,Morey Amsterdam,,Sue Yannick,preview,a peek,thief,preview,500
