Season,Episode,Game,Round,A or B,Question,Contestant,Contestant Answer,Panelist 1,Panelist 1 Answer,Panelist 1 Matched,Panelist 2,Panelist 2 Answer,Panelist 2 Matched,Panelist 3,Panelist 3 Answer,Panelist 3 Matched,Panelist 4,Panelist 4 Answer,Panelist 4 Matched,Panelist 5,Panelist 5 Answer,Panelist 5 Matched,Panelist 6,Panelist 6 Answer,Panelist 6 Matched
73,1,1,1,B,The sexiest thing a woman can wear is blank.,Joan Roselle,negligee,Michael Landon,herself,no,Vicki Lawrence,nothing,no,Jack Klugman,nothing,no,Jo Ann Pflug,a long dress,no,Richard Dawson,perfume,no,Anita Gillette,nothing,no
73,1,1,1,A,John and George traded blanks for a week.,Stanley Viltz,wives,Michael Landon,marbles,no,Vicki Lawrence,cars,no,Jack Klugman,apartments,no,Jo Ann Pflug,cars,no,Richard Dawson,jobs,no,Anita Gillette,wives,yes
73,1,1,2,B,Name something you squeeze.,Joan Roselle,girl,Michael Landon,lemon,no,Vicki Lawrence,an orange,no,Jack Klugman,lemon,no,Jo Ann Pflug,toothpaste tube,no,Richard Dawson,lemon,no,Anita Gillette,oranges,no
73,1,2,1,B,The surest way to tell the age of a woman is to look at her blank.,Edie Clark,face,Michael Landon,wrinkles,no,Vicki Lawrence,wrinkles,no,Jack Klugman,wrinkles,no,Jo Ann Pflug,wrinkles,no,Richard Dawson,birth certificate,no,Anita Gillette,chins,no
73,1,2,1,A,"Jack was lonely, so he went to a blank.",Stanley Viltz,bar,Michael Landon,hill,no,Vicki Lawrence,party,no,Jack Klugman,massage parlor,no,Jo Ann Pflug,bar,yes,Richard Dawson,beach,no,Anita Gillette,orgy,no
73,1,2,2,B,John gave Mary a beautiful blank for Christmas.,Edie Clark,fur,Michael Landon,present,no,Vicki Lawrence,car,no,Jack Klugman,ring,no,Jo Ann Pflug,dress,no,Richard Dawson,fur,yes,Anita Gillette,ring,no
73,1,2,2,A,Mary blanks like a bird.,Stanley Viltz,sings,Michael Landon,flies,no,Vicki Lawrence,sings,yes,,,,,,,,,,,,
73,2,3,1,B,"John said to Mary, ""Your blank is flat.""",Trevor Cumming,tire,Michael Landon,tire,yes,Vicki Lawrence,chest,no,Jack Klugman,voice,no,Jo Ann Pflug,hair,no,Richard Dawson,chest,no,Anita Gillette,humor,no
73,2,3,1,A,"Mary wanted to say yes when John proposed, but all she could do was blank.",Stanley Viltz,laugh,Michael Landon,cry,no,Vicki Lawrence,laugh,yes,Jack Klugman,cry,no,Jo Ann Pflug,laugh,yes,Richard Dawson,cry,no,Anita Gillette,sigh,no
73,2,3,2,B,Mary gave John a bottle of blank.,Trevor Cumming,scotch,,,,Vicki Lawrence,booze,no,Jack Klugman,scotch,yes,Jo Ann Pflug,beer,no,Richard Dawson,booze,no,Anita Gillette,booze,no
73,2,3,2,A,"Besides Nixon, name a US president.",Stanley Viltz,john kennedy,Michael Landon,roosevelt,no,,,,Jack Klugman,kennedy,yes,,,,,,,,,
73,2,4,1,A,John and Mary saved money on their wedding because Mary's uncle is a blank.,Kay Pingston,preacher,Michael Landon,minister,yes,Vicki Lawrence,caterer,no,Jack Klugman,rabbi,yes,Jo Ann Pflug,caterer,no,Richard Dawson,preacher,yes,Anita Gillette,caterer,no
73,2,4,1,B,Mary burned her blank.,Stanley Viltz,finger,Michael Landon,finger,yes,Vicki Lawrence,finger,yes,Jack Klugman,hand,no,Jo Ann Pflug,hand,no,Richard Dawson,fingers,yes,Anita Gillette,finger,yes
73,3,4,2,A,Mary always made blank in the morning.,Kay Pingston,eggs,,,,Vicki Lawrence,coffee,no,,,,Jo Ann Pflug,coffee,no,,,,Anita Gillette,coffee,no
73,3,5,1,B,John came back from Las Vegas a blanker man.,Fil Gilman,broker,Michael Landon,wiser,no,Vicki Lawrence,wealthier,no,Jack Klugman,poorer,yes,Jo Ann Pflug,poorer,yes,Richard Dawson,poorer,yes,Anita Gillette,poorer,yes
73,3,5,1,A,"Laura said to Evelyn, ""Why do you spend so much time in the blank?""",Stanley Viltz,bed,Michael Landon,bathroom,no,Vicki Lawrence,john,no,Jack Klugman,bathroom,no,Jo Ann Pflug,garage,no,Richard Dawson,john,no,Anita Gillette,bathroom,no
73,3,5,2,A,John ate like a blank.,Fil Gilman,pig,Michael Landon,bird,no,Vicki Lawrence,pig,yes,,,,,,,,,,,,
73,3,5,2,B,"Mary said to John, ""You need to have your blank examined.""",Stanley Viltz,head,Michael Landon,head,yes,Vicki Lawrence,head,yes,Jack Klugman,head,yes,Jo Ann Pflug,head,yes,Richard Dawson,head,yes,Anita Gillette,head,yes
73,4,6,1,A,"If he could, John would have two blanks.",Gary Walls,wives,Michael Landon,wives,yes,Vicki Lawrence,wives,yes,Jack Klugman,cars,no,Jo Ann Pflug,wives,yes,Richard Dawson,girls,no,Anita Gillette,wives,yes
73,4,6,1,B,Sally went for a swim in the blank.,Stanley Viltz,nude,Michael Landon,nude,yes,Vicki Lawrence,nude,yes,Jack Klugman,nude,yes,Jo Ann Pflug,lake,no,Richard Dawson,nude,yes,Anita Gillette,ocean,no
73,4,6,2,A,John likes blank movies.,Gary Walls,dirty,,,,,,,Jack Klugman,porno,yes,,,,Richard Dawson,dirty,yes,,,
73,4,6,2,B,Johnny's blank got caught in a tree.,Stanley Viltz,kite,,,,,,,,,,Jo Ann Pflug,foot,no,,,,,,
73,4,7,1,B,"John and Mary have the strangest dog. He's half-Chihuahua, half-blank.",Sherry Calabria,german shepherd,Michael Landon,crazy,no,Vicki Lawrence,st. bernard,no,Jack Klugman,great dane,no,Jo Ann Pflug,bulldog,no,Richard Dawson,crazy,no,Anita Gillette,irish wolfhound,no
73,4,7,1,A,"John said, ""Thank goodness there's a blank right around the corner.""",Gary Walls,bar,Michael Landon,bar,yes,Vicki Lawrence,bar,yes,Jack Klugman,doctor,no,Jo Ann Pflug,gas station,no,Richard Dawson,bar,yes,Anita Gillette,bar,yes
73,4,7,2,B,Sally had blank fingernails.,Sherry Calabria,long,Michael Landon,long,yes,Vicki Lawrence,long,yes,Jack Klugman,dirty,no,Jo Ann Pflug,long,yes,Richard Dawson,dirty,no,Anita Gillette,false,no
73,5,8,1,A,Mary decided to have a blank.,Sarah O'Reilly,baby,Michael Landon,ball,no,Vicki Lawrence,baby,yes,Jack Klugman,party,no,Jo Ann Pflug,party,no,Richard Dawson,sleep,no,Anita Gillette,baby,yes
73,5,8,1,B,John fell asleep on Mary's blank.,Gary Walls,couch,Michael Landon,lap,no,Vicki Lawrence,sofa,yes,Jack Klugman,lap,no,Jo Ann Pflug,couch,yes,Richard Dawson,sofa,yes,Anita Gillette,bosom,no
73,5,8,2,A,"Whenever Mary sings to herself, you know she's blank.",Sarah O'Reilly,showering,Michael Landon,happy,no,,,,Jack Klugman,happy,no,Jo Ann Pflug,drunk,no,Richard Dawson,happy,no,,,
73,5,9,1,A,Mary found a blank in John's pocket.,Amy Siskin,handkerchief,Michael Landon,snake,no,Vicki Lawrence,handkerchief,yes,Jack Klugman,handkerchief,yes,Jo Ann Pflug,dollar,no,Richard Dawson,lipstick,no,Anita Gillette,lipstick,no
73,5,9,1,B,You could tell it was Raquel going down the street by her blank.,Gary Walls,body,Michael Landon,face,no,Vicki Lawrence,boobs,no,Jack Klugman,bosom,no,Jo Ann Pflug,figure,yes,Richard Dawson,walk,no,Anita Gillette,wiggle,no
73,5,9,2,A,Name a language you'd be likely to hear at the United Nations.,Amy Siskin,english,Michael Landon,english,yes,,,,,,,Jo Ann Pflug,russian,no,Richard Dawson,french,no,Anita Gillette,russian,no
73,5,9,2,B,"When Mary was a teenager, she had lots of blanks.",Gary Walls,boyfriends,Michael Landon,cavities,no,Vicki Lawrence,boyfriends,yes,Jack Klugman,boyfriends,yes,,,,Richard Dawson,boyfriends,yes,Anita Gillette,boyfriends,yes
73,6,10,1,A,John took a picture of Mary's blank.,Gray Farley,dress,Bob Barker,face,no,Arlene Francis,heart,no,Richard Dawson,face,no,Michael Learned,face,no,Richard Thomas,new dress,yes,Della Reese,face,no
73,6,10,1,B,"Mary said to John, ""I lied when I said I was blank.""",Gary Walls,pregnant,Bob Barker,pregnant,yes,Arlene Francis,single,no,Richard Dawson,pregnant,yes,Michael Learned,out shopping,no,Richard Thomas,single,no,Della Reese,pregnant,yes
73,6,10,2,A,"A mother said to her son, ""If you cannot be a doctor, at least be a blank.""",Gray Farley,good man,Bob Barker,lawyer,no,Arlene Francis,man,no,Richard Dawson,bank robber,no,Michael Learned,lawyer,no,,,,,,
73,6,11,1,B,Hollywood is full of blanks.,Mary Vanderdusen,celebrities,Bob Barker,stars,yes,Arlene Francis,stars,yes,Richard Dawson,palm trees,no,Michael Learned,stars,yes,Richard Thomas,stars,yes,Della Reese,stars,yes
73,7,11,1,A,John is allergic to Mary's blank.,Gary Walls,perfume,Bob Barker,touch,no,Arlene Francis,perfume,yes,Richard Dawson,makeup,no,Michael Learned,mother,no,Richard Thomas,new coat,no,Della Reese,mother,no
73,7,11,2,A,"Mary said, ""I'd sure like to win a blank on The Price is Right.""",Mary Vanderdusen,car,,,,,,,Richard Dawson,prize,no,,,,,,,,,
73,7,11,2,B,"Before they fall asleep, John always says blank to Mary.",Gary Walls,I love you,Bob Barker,good night,no,,,,Richard Dawson,good night,no,,,,,,,,,
73,7,12,1,B,"When John heard he was going to be a father, he blank.",Gita Satyendra,fainted,Bob Barker,fainted,yes,Arlene Francis,cried,no,Richard Dawson,jumped for joy,no,Michael Learned,passed out,yes,Richard Thomas,fainted,yes,Della Reese,jumped for joy,no
73,7,12,1,A,Mary's nose is blank.,Mary Vanderdusen,pugged,Bob Barker,pug,yes,Arlene Francis,running,no,Richard Dawson,cold,no,Michael Learned,unique,no,Richard Thomas,crooked,no,Della Reese,pugged,yes
73,7,12,2,B,Name something a person might do while asleep.,Gita Satyendra,snore,,,,Arlene Francis,dream,no,Richard Dawson,snore,yes,,,,,,,Della Reese,snore,yes
73,7,12,2,A,John likes ketchup so much he even puts it on his blank.,Mary Vanderdusen,cottage cheese,,,,Arlene Francis,ice cream,no,Richard Dawson,bread,no,,,,,,,,,
73,8,13,1,A,Mary was surprised to find the new apartment had no blank.,Nelson Kaesberg,furniture,Della Reese,furniture,yes,Richard Dawson,bathrooms,no,Arlene Francis,windows,no,Bob Barker,closets,no,Michael Learned,kitchen,no,Richard Thomas,electricity,no
73,8,13,1,B,Johnny always blanks when he's nervous.,Gita Satyendra,shakes,Della Reese,shakes,yes,Richard Dawson,sweats,no,Arlene Francis,perspires,no,Bob Barker,shakes,yes,Michael Learned,sweats,no,Richard Thomas,stutters,no
73,8,13,2,A,There's always a blank in a Western movie.,Nelson Kaesberg,fight,,,,Richard Dawson,sheriff,no,Arlene Francis,cowboy,no,Bob Barker,cowboy,no,Michael Learned,horse,no,Richard Thomas,horse,no
73,8,14,1,A,George didn't like his first blank.,Helene Harrington,name,Della Reese,wife,no,Richard Dawson,date,no,Arlene Francis,wife,no,Bob Barker,wife,no,Michael Learned,date,no,Richard Thomas,date,no
73,8,14,1,B,Mary has more blank than she used to.,Gita Satyendra,weight,Della Reese,money,no,Richard Dawson,bust,no,Arlene Francis,money,no,Bob Barker,gray hair,no,Michael Learned,moxy,no,Richard Thomas,nerve,no
73,8,14,2,A,Name something sold by the bunch.,Helene Harrington,carrots,Della Reese,carrots,yes,Richard Dawson,bananas,no,Arlene Francis,bananas,no,Bob Barker,bananas,no,Michael Learned,politics,no,Richard Thomas,bananas,no
73,9,14,2,B,John doesn't trust banks. He keeps his money blank.,Gita Satyendra,under his bed,Della Reese,mattress,no,Richard Dawson,sock,no,Arlene Francis,under the mattress,no,Bob Barker,under the mattress,no,Michael Learned,under his mattress,no,Richard Thomas,in his mattress,no
73,9,15,1,B,"Mary is accident-prone, so she always carries a blank with her.",Joan Curtis,first aid kit,Della Reese,band aid,no,Richard Dawson,policy,no,Arlene Francis,band aid,no,Bob Barker,crutch,no,Michael Learned,bandage,no,Richard Thomas,band aid,no
73,9,15,1,A,"Before an actor goes onstage, he usually checks his blank.",Helene Harrington,hair,Della Reese,dialogue,no,Richard Dawson,zipper,no,Arlene Francis,lines,no,Bob Barker,fly,no,Michael Learned,fly,no,Richard Thomas,lines,no
73,9,15,2,A,John was blank the night he proposed.,Joan Curtis,drunk,Della Reese,drunk,yes,Richard Dawson,drunk,yes,Arlene Francis,drunk,yes,Bob Barker,drunk,yes,Michael Learned,nervous,no,Richard Thomas,terrified,no
73,9,15,2,B,Name someone whose picture is often on the front page of the newspaper.,Helene Harrington,richard nixon,Della Reese,president nixon,yes,Richard Dawson,nixon,yes,Arlene Francis,nixon,yes,Bob Barker,nixon,yes,Michael Learned,nixon,yes,,,
73,10,16,1,B,"John said, ""My waterbed is blank.""",Sylvia Martin,leaking,Della Reese,leaking,yes,Richard Dawson,leaking,yes,Arlene Francis,broken,no,Bob Barker,leaking,yes,Michael Learned,leaking,yes,Richard Thomas,leaking,yes
73,10,16,1,A,Name something a baby does more than an adult.,Helene Harrington,wets,Della Reese,wets,yes,Richard Dawson,burp,no,Arlene Francis,wets the bed,yes,Bob Barker,cries,no,Michael Learned,wets its diapers,yes,Richard Thomas,cries,no
73,10,16,2,B,A blank followed Sally home.,Sylvia Martin,man,,,,,,,Arlene Francis,man,yes,,,,,,,,,
73,10,16,2,A,"Mary asked John, ""Would you like a little blank?""",Helene Harrington,kiss,,,,Richard Dawson,more,no,,,,,,,,,,,,
73,10,17,1,B,"John said to Harry, ""I can never get a date. Do you think it's my blank?""",Beverly Ballard,breath,Della Reese,breath,yes,Richard Dawson,breath,yes,Arlene Francis,breath,yes,Bob Barker,breath,yes,Michael Learned,breath,yes,Richard Thomas,breath,yes
73,10,17,1,A,Harry was in a blank for a week.,Sylvia Martin,daze,Della Reese,coma,no,Richard Dawson,bed,no,Arlene Francis,funk,no,Bob Barker,blue funk,no,Michael Learned,hospital,no,Richard Thomas,coma,no
73,10,17,2,B,Name someone who has appeared in a lot of horror films.,Sylvia Martin,frankenstein,Della Reese,boris karloff,no,,,,,,,,,,,,,,,
73,11,18,1,B,"The first time a boy kissed Susie, she blanked.",Dinah Hewlett,slapped him,Bert Convy,blushed,no,Jaye P. Morgan,fainted,no,Charles Nelson Reilly,blushed,no,Brett Somers,belted him,yes,Richard Dawson,swooned,no,Betty White,giggled,no
73,11,18,1,A,"When John saw this girl at the cocktail party, he could tell by the way she was dressed that she was a blank.",Beverly Ballard,swinger,Bert Convy,hooker,no,Jaye P. Morgan,lady of the evening,no,Charles Nelson Reilly,pushover,no,Brett Somers,hooker,no,Richard Dawson,swinger,yes,Betty White,swinger,yes
73,11,18,2,A,"Mary said, ""John can't come to the phone now. He's busy chopping blank.""",Dinah Hewlett,wood,Bert Convy,wood,yes,Jaye P. Morgan,wood,yes,Charles Nelson Reilly,wood,yes,,,,Richard Dawson,wood,yes,Betty White,ice,no
73,11,18,2,B,Mr. Jones could hardly believe his ears when the nurse told him he was the father of blank.,Beverly Ballard,triplets,Bert Convy,boy,no,Jaye P. Morgan,triplets,yes,Charles Nelson Reilly,a baby boy,no,,,,,,,,,
73,11,19,1,A,Sarah even puts perfume on her blank.,Roger Kissell,bosom,Bert Convy,bosom,yes,Jaye P. Morgan,bust,yes,Charles Nelson Reilly,toes,no,Brett Somers,knees,no,Richard Dawson,neck,no,Betty White,light bulbs,no
73,12,19,1,B,Some of John's closest friends don't know that he's blank.,Dinah Hewlett,married,Bert Convy,bald,no,Jaye P. Morgan,gay,no,Charles Nelson Reilly,married,yes,Brett Somers,gay,no,Richard Dawson,ill,no,Betty White,married,yes
73,12,19,2,B,"Mary called the hotel clerk and said, ""There's a blank in my room.""",Roger Kissell,man,,,,,,,Charles Nelson Reilly,man,yes,Brett Somers,burglar,no,Richard Dawson,man,yes,Betty White,man,yes
73,12,19,2,A,"John told Mary, ""Put your blank on. Company's coming.""",Dinah Hewlett,robe,Bert Convy,clothes,no,Jaye P. Morgan,pants,no,,,,,,,,,,,,
73,12,20,1,A,"Though Sam was eighty years old, he still liked to blank.",Fern Zaylen,dance,Bert Convy,smoke,no,Jaye P. Morgan,drink,no,Charles Nelson Reilly,fish,no,Brett Somers,swim,no,Richard Dawson,laugh,no,Betty White,dance,yes
