Season,Episode,Game,Round,Question,Question Text,Contestant ID,Contestant Answer,Panelist 1 Answer,Panelist 1 Matched,Panelist 2 Answer,Panelist 2 Matched,Panelist 3 Answer,Panelist 3 Matched,Panelist 4 Answer,Panelist 4 Matched,Panelist 5 Answer,Panelist 5 Matched,Panelist 6 Answer,Panelist 6 Matched,Alternate Panelist,Alternate Panelist Position,Notes
73,1,1,1,B,The sexiest thing a woman can wear is blank.,2,negligee,herself,no,nothing,no,nothing,no,a long dress,no,perfume,no,nothing,no,,,
73,1,1,1,A,John and George traded blanks for a week.,1,wives,marbles,no,cars,no,apartments,no,cars,no,jobs,no,wives,yes,,,
73,1,1,2,B,Name something you squeeze.,2,girl,lemon,no,an orange,no,lemon,no,toothpaste tube,no,lemon,no,oranges,no,,,
73,1,2,1,B,The surest way to tell the age of a woman is to look at her blank.,3,face,wrinkles,no,wrinkles,no,wrinkles,no,wrinkles,no,birth certificate,no,chins,no,,,
73,1,2,1,A,"Jack was lonely, so he went to a blank.",1,bar,hill,no,party,no,massage parlor,no,bar,yes,beach,no,orgy,no,,,
73,1,2,2,B,John gave Mary a beautiful blank for Christmas.,3,fur,present,no,car,no,ring,no,dress,no,fur,yes,ring,no,,,
73,1,2,2,A,Mary blanks like a bird.,1,sings,flies,no,sings,yes,,,,,,,,,,,
73,2,3,1,B,"John said to Mary, ""Your blank is flat.""",4,tire,tire,yes,chest,no,voice,no,hair,no,chest,no,humor,no,,,
73,2,3,1,A,"Mary wanted to say yes when John proposed, but all she could do was blank.",1,laugh,cry,no,laugh,yes,cry,no,laugh,yes,cry,no,sigh,no,,,
73,2,3,2,B,Mary gave John a bottle of blank.,4,scotch,,,booze,no,scotch,yes,beer,no,booze,no,booze,no,,,
73,2,3,2,A,"Besides Nixon, name a US president.",1,john kennedy,roosevelt,no,,,kennedy,yes,,,,,,,,,
73,2,4,1,A,John and Mary saved money on their wedding because Mary's uncle is a blank.,5,preacher,minister,yes,caterer,no,rabbi,yes,caterer,no,preacher,yes,caterer,no,,,
73,2,4,1,B,Mary burned her blank.,1,finger,finger,yes,finger,yes,hand,no,hand,no,fingers,yes,finger,yes,,,
73,3,4,2,A,Mary always made blank in the morning.,5,eggs,,,coffee,no,,,coffee,no,,,coffee,no,,,
73,3,5,1,B,John came back from Las Vegas a blanker man.,6,broker,wiser,no,wealthier,no,poorer,yes,poorer,yes,poorer,yes,poorer,yes,,,
73,3,5,1,A,"Laura said to Evelyn, ""Why do you spend so much time in the blank?""",1,bed,bathroom,no,john,no,bathroom,no,garage,no,john,no,bathroom,no,,,
73,3,5,2,A,John ate like a blank.,6,pig,bird,no,pig,yes,,,,,,,,,,,
73,3,5,2,B,"Mary said to John, ""You need to have your blank examined.""",1,head,head,yes,head,yes,head,yes,head,yes,head,yes,head,yes,,,
73,4,6,1,A,"If he could, John would have two blanks.",7,wives,wives,yes,wives,yes,cars,no,wives,yes,girls,no,wives,yes,,,
73,4,6,1,B,Sally went for a swim in the blank.,1,nude,nude,yes,nude,yes,nude,yes,lake,no,nude,yes,ocean,no,,,
73,4,6,2,A,John likes blank movies.,7,dirty,,,,,porno,yes,,,dirty,yes,,,,,
73,4,6,2,B,Johnny's blank got caught in a tree.,1,kite,,,,,,,foot,no,,,,,,,
73,4,7,1,B,"John and Mary have the strangest dog. He's half-Chihuahua, half-blank.",8,german shepherd,crazy,no,st. bernard,no,great dane,no,bulldog,no,crazy,no,irish wolfhound,no,,,
73,4,7,1,A,"John said, ""Thank goodness there's a blank right around the corner.""",7,bar,bar,yes,bar,yes,doctor,no,gas station,no,bar,yes,bar,yes,,,
73,4,7,2,B,Sally had blank fingernails.,8,long,long,yes,long,yes,dirty,no,long,yes,dirty,no,false,no,,,
73,5,8,1,A,Mary decided to have a blank.,9,baby,ball,no,baby,yes,party,no,party,no,sleep,no,baby,yes,,,
73,5,8,1,B,John fell asleep on Mary's blank.,7,couch,lap,no,sofa,yes,lap,no,couch,yes,sofa,yes,bosom,no,,,
73,5,8,2,A,"Whenever Mary sings to herself, you know she's blank.",9,showering,happy,no,,,happy,no,drunk,no,happy,no,,,,,
73,5,9,1,A,Mary found a blank in John's pocket.,10,handkerchief,snake,no,handkerchief,yes,handkerchief,yes,dollar,no,lipstick,no,lipstick,no,,,
73,5,9,1,B,You could tell it was Raquel going down the street by her blank.,7,body,face,no,boobs,no,bosom,no,figure,yes,walk,no,wiggle,no,,,
73,5,9,2,A,Name a language you'd be likely to hear at the United Nations.,10,english,english,yes,,,,,russian,no,french,no,russian,no,,,
73,5,9,2,B,"When Mary was a teenager, she had lots of blanks.",7,boyfriends,cavities,no,boyfriends,yes,boyfriends,yes,,,boyfriends,yes,boyfriends,yes,,,
73,6,10,1,A,John took a picture of Mary's blank.,11,dress,face,no,heart,no,face,no,face,no,new dress,yes,face,no,,,
